Pais,Codigo ISO pais,Departamento/Estado,Ciudad_Migrada,Oficina de registro,Grupo edad,Edades,Area Conocimiento,Sub Area Conocimiento,Nivel Academico,Estado civil,Genero,Etnia de la persona,Estatura CM,Pais de Nacimiento,Departamento/Estado.1,Ciudad_Origen,x inicial,y inicial,Fecha de Registro,Cantidad de personas,concat,COMPARATIVO,Coordenada X,Coordenada Y,Mes_Año,Año
ESTADOS UNIDOS,USA,NORTH CAROLINA,RALEIGH,C. ATLANTA,ADULTO,37,"INGENIERIA, ARQUITECTURA Y AFINES",INGENIERIA ELECTRICA Y AFINES,PREGRADO - TECNOLOGICO,CASADO,MASCULINO,OTRO,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,3.709.024,-95.712.891,2024-04-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,04-2024,2024
ESTADOS UNIDOS,USA,NEW YORK,RICHMOND HILL,C. NUEVA YORK,ADULTO,48,CIENCIAS DE LA SALUD,OTRO PROGRAMA DE SALUD,NO INDICA,DIVORCIADO,MASCULINO,NINGUNA,-1,COLOMBIA,RISARALDA,PEREIRA,3.709.024,-95.712.891,2021-07-01,1,COLOMBIARISARALDAPEREIRA,COLOMBIA,4.7854606,-75.788322,07-2021,2021
ESTADOS UNIDOS,USA,GEORGIA,LAWRENCEVILLE,C. ATLANTA,ADULTO,39,BELLAS ARTES,PUBLICIDAD Y AFINES,PREGRADO - TECNICO PROFESIONAL,UNION_LIBRE,MASCULINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-02-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,02-2023,2023
ESTADOS UNIDOS,USA,TEXAS,DALLAS,C. HOUSTON,ADULTO JOVEN,22,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,BOLIVAR,CARTAGENA,3.709.024,-95.712.891,2024-09-01,1,COLOMBIABOLIVARCARTAGENA,COLOMBIA,10.4265566,-75.5441671,09-2024,2024
ESTADOS UNIDOS,USA,NEW YORK,FOREST HILLS,C. NUEVA YORK,ADULTO,39,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,VALLE DEL CAUCA,SANTIAGO DE CALI,3.709.024,-95.712.891,2024-06-01,1,COLOMBIAVALLE DEL CAUCASANTIAGO DE CALI,COLOMBIA,3.4519988,-76.5325259,06-2024,2024
ESTADOS UNIDOS,USA,FLORIDA,DAVENPORT,C. ORLANDO,ADULTO,46,NINGUNA,NINGUNA,BACHILLERATO,CASADO,FEMENINO,OTRO,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,3.709.024,-95.712.891,2024-07-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,07-2024,2024
ESTADOS UNIDOS,USA,NEW YORK,BROOKLYN,C. NUEVA YORK,ADULTO,53,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,PREGRADO - PROFESIONAL,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,MAGDALENA,SANTA MARTA,3.709.024,-95.712.891,2023-02-01,1,COLOMBIAMAGDALENASANTA MARTA,COLOMBIA,11.24194,-74.21167,02-2023,2023
ESTADOS UNIDOS,USA,TEXAS,HOUSTON,C. HOUSTON,ADULTO,40,NINGUNA,NINGUNA,BACHILLERATO,CASADO,FEMENINO,OTRO,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,3.709.024,-95.712.891,2024-08-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,08-2024,2024
ESTADOS UNIDOS,USA,NEW YORK,WOODSIDE,C. NUEVA YORK,ADULTO JOVEN,19,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",CONTADURIA PUBLICA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,RISARALDA,PEREIRA,3.709.024,-95.712.891,2024-04-01,1,COLOMBIARISARALDAPEREIRA,COLOMBIA,4.7854606,-75.788322,04-2024,2024
ESTADOS UNIDOS,USA,ILLINOIS,CHICAGO,C. CHICAGO,ADULTO,35,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2024-05-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,05-2024,2024
