Pais,Codigo ISO pais,Departamento/Estado,Ciudad_Migrada,Oficina de registro,Grupo edad,Edades,Area Conocimiento,Sub Area Conocimiento,Nivel Academico,Estado civil,Genero,Etnia de la persona,Estatura CM,Pais de Nacimiento,Departamento/Estado.1,Ciudad_Origen,x inicial,y inicial,Fecha de Registro,Cantidad de personas,concat,COMPARATIVO,Coordenada X,Coordenada Y,Mes_Año,Año
ESTADOS UNIDOS,USA,NORTH CAROLINA,WINSTON SALEM,C. ATLANTA,ADULTO,36,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,MASCULINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-10-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,10-2023,2023
CANADA,CAN,ONTARIO,OAKVILLE,C. TORONTO,ADULTO,41,"INGENIERIA, ARQUITECTURA Y AFINES",INGENIERIA ELECTRICA Y AFINES,NO INDICA,DIVORCIADO,FEMENINO,NINGUNA,-1,COLOMBIA,ATLANTICO,BARRANQUILLA,56.130.366,-106.346.771,2021-08-01,1,COLOMBIAATLANTICOBARRANQUILLA,COLOMBIA,11.0101922,-74.8231794,08-2021,2021
ESTADOS UNIDOS,USA,NEW YORK,NUEVA YORK,C. NUEVA YORK,ADULTO,45,NINGUNA,NINGUNA,BACHILLERATO,SEPARADO_UNION_LIBRE,MASCULINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-03-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,03-2023,2023
ESTADOS UNIDOS,USA,SOUTH CAROLINA,WOODRUFF,C. ATLANTA,ADULTO,37,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,MASCULINO,OTRO,-1,COLOMBIA,QUINDIO,MONTENEGRO,3.709.024,-95.712.891,2024-09-01,1,COLOMBIAQUINDIOMONTENEGRO,COLOMBIA,4.5664176,-75.7507081,09-2024,2024
CANADA,CAN,MANITOBA,WINNIPEG,C. CALGARY,ADULTO,37,CIENCIAS DE LA SALUD,ENFERMERIA,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,56.130.366,-106.346.771,2021-07-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,07-2021,2021
ESTADOS UNIDOS,USA,CALIFORNIA,CALIFORNIA,C. SAN FRANCISCO,ADULTO JOVEN,28,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-07-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,07-2023,2023
ESTADOS UNIDOS,USA,MINNESOTA,COON RAPIDS,C. CHICAGO,ADULTO MAYOR,63,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,OTRO,-1,COLOMBIA,VALLE DEL CAUCA,ROLDANILLO,3.709.024,-95.712.891,2023-04-01,1,COLOMBIAVALLE DEL CAUCAROLDANILLO,COLOMBIA,4.4091166,-76.1543744,04-2023,2023
ESTADOS UNIDOS,USA,MASSACHUSETTS,MASSACHUSETTS,C. BOSTON,ADULTO,38,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,OTRO,-1,COLOMBIA,SANTANDER,BUCARAMANGA,3.709.024,-95.712.891,2021-01-01,1,COLOMBIASANTANDERBUCARAMANGA,COLOMBIA,7.1669842,-73.1047294,01-2021,2021
ESTADOS UNIDOS,USA,MASSACHUSETTS,ABINGTON,C. BOSTON,ADULTO,48,CIENCIAS DE LA SALUD,ENFERMERIA,PREGRADO - PROFESIONAL,DIVORCIADO,FEMENINO,OTRO,-1,COLOMBIA,RISARALDA,PEREIRA,3.709.024,-95.712.891,2022-11-01,1,COLOMBIARISARALDAPEREIRA,COLOMBIA,4.7854606,-75.788322,11-2022,2022
ESTADOS UNIDOS,USA,TEXAS,SAN ANTONIO,C. HOUSTON,ADULTO,43,NINGUNA,NINGUNA,PRIMARIA,DIVORCIADO,MASCULINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-04-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,04-2023,2023
AUSTRALIA,AUS,QUEENSLAND,BRISBANE,C. SYDNEY,ADULTO,31,"INGENIERIA, ARQUITECTURA Y AFINES",INGENIERIA INDUSTRIAL Y AFINES,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,-25.274.398,133.775.136,2022-04-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,04-2022,2022
ESTADOS UNIDOS,USA,NEW JERSEY,FAIRVIEW,C. NEWARK,ADULTO,37,CIENCIAS DE LA EDUCACION,EDUCACION,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2022-04-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,04-2022,2022
ESTADOS UNIDOS,USA,WISCONSIN,MILWAUKEE,C. CHICAGO,ADULTO,48,"INGENIERIA, ARQUITECTURA Y AFINES",INGENIERIA ELECTRICA Y AFINES,PREGRADO - PROFESIONAL,CASADO,MASCULINO,OTRO,-1,COLOMBIA,RISARALDA,PEREIRA,3.709.024,-95.712.891,2024-08-01,1,COLOMBIARISARALDAPEREIRA,COLOMBIA,4.7854606,-75.788322,08-2024,2024
ESTADOS UNIDOS,USA,NEW JERSEY,MADISON,C. NEWARK,ADULTO,37,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,NINGUNA,-1,COLOMBIA,QUINDIO,FILANDIA,3.709.024,-95.712.891,2024-07-01,1,COLOMBIAQUINDIOFILANDIA,COLOMBIA,4.6750767,-75.6579957,07-2024,2024
ESTADOS UNIDOS,USA,FLORIDA,GAINESVILLE,C. ORLANDO,ADULTO,30,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",ADMINISTRACION,PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,FACATATIVA,3.709.024,-95.712.891,2022-10-01,1,COLOMBIACUNDINAMARCAFACATATIVA,COLOMBIA,4.8112491,-74.3403761,10-2022,2022
ESTADOS UNIDOS,USA,NORTH DAKOTA,GRAND FORKS,C. CHICAGO,ADULTO JOVEN,24,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,COLOMBIA,CALDAS,MANIZALES,3.709.024,-95.712.891,2022-03-01,1,COLOMBIACALDASMANIZALES,COLOMBIA,5.0743694,-75.5081167,03-2022,2022
ESTADOS UNIDOS,USA,NEW HAMPSHIRE,NASHUA,C. BOSTON,ADULTO,33,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,NINGUNA,-1,COLOMBIA,VALLE DEL CAUCA,ZARZAL,3.709.024,-95.712.891,2023-12-01,1,COLOMBIAVALLE DEL CAUCAZARZAL,COLOMBIA,4.393943,-76.0706472,12-2023,2023
ESTADOS UNIDOS,USA,COLORADO,COLORADO SPRINGS,C. SAN FRANCISCO,ADULTO,31,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",ADMINISTRACION,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,-1,COLOMBIA,MAGDALENA,SANTA MARTA,3.709.024,-95.712.891,2024-12-01,1,COLOMBIAMAGDALENASANTA MARTA,COLOMBIA,11.24194,-74.21167,12-2024,2024
ESTADOS UNIDOS,USA,GEORGIA,BUFORD,C. ATLANTA,ADULTO MAYOR,61,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",CONTADURIA PUBLICA,PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,-1,COLOMBIA,VALLE DEL CAUCA,SANTIAGO DE CALI,3.709.024,-95.712.891,2023-05-01,1,COLOMBIAVALLE DEL CAUCASANTIAGO DE CALI,COLOMBIA,3.4519988,-76.5325259,05-2023,2023
ESTADOS UNIDOS,USA,NEW YORK,NUEVA YORK,C. NUEVA YORK,ADULTO,45,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",ADMINISTRACION,PREGRADO - PROFESIONAL,SEPARADO_MATRIMONIO,FEMENINO,OTRO,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,3.709.024,-95.712.891,2024-06-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,06-2024,2024
ESTADOS UNIDOS,USA,MARYLAND,NORTH BETHESDA,C. WASHINGTON,ADULTO MAYOR,62,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,OTRO,-1,COLOMBIA,NARIÑO,PASTO,3.709.024,-95.712.891,2021-04-01,1,COLOMBIANARIÑOPASTO,COLOMBIA,1.2140275,-77.2785096,04-2021,2021
ESTADOS UNIDOS,USA,FLORIDA,ORLANDO,C. ORLANDO,ADULTO,46,"INGENIERIA, ARQUITECTURA Y AFINES",INGENIERIA INDUSTRIAL Y AFINES,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2021-02-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,02-2021,2021
ESTADOS UNIDOS,USA,NEW YORK,NEW YORK,C. NUEVA YORK,ADULTO,34,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,ANTIOQUIA,SAN ROQUE,3.709.024,-95.712.891,2023-08-01,1,COLOMBIAANTIOQUIASAN ROQUE,COLOMBIA,6.4851146,-75.0195044,08-2023,2023
ESTADOS UNIDOS,USA,GEORGIA,AUBURN,C. ATLANTA,ADULTO,38,NINGUNA,NINGUNA,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,3.709.024,-95.712.891,2022-06-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,06-2022,2022
ESTADOS UNIDOS,USA,CALIFORNIA,BELLFLOWER,C. LOS ANGELES,ADULTO,42,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",ADMINISTRACION,PREGRADO - PROFESIONAL,CASADO,MASCULINO,NINGUNA,-1,COLOMBIA,VALLE DEL CAUCA,SANTIAGO DE CALI,3.709.024,-95.712.891,2024-04-01,1,COLOMBIAVALLE DEL CAUCASANTIAGO DE CALI,COLOMBIA,3.4519988,-76.5325259,04-2024,2024
ESTADOS UNIDOS,USA,NEW JERSEY,NORTH BERGEN,C. NEWARK,ADULTO,48,NO INDICA,COCINA Y CULINARIA,NO INDICA,CASADO,FEMENINO,OTRO,-1,COLOMBIA,VALLE DEL CAUCA,SANTIAGO DE CALI,3.709.024,-95.712.891,2021-06-01,1,COLOMBIAVALLE DEL CAUCASANTIAGO DE CALI,COLOMBIA,3.4519988,-76.5325259,06-2021,2021
ESTADOS UNIDOS,USA,NEW JERSEY,JERSEY CITY,C. NEWARK,ADULTO,33,CIENCIAS DE LA SALUD,ENFERMERIA,PREGRADO - TECNOLOGICO,SOLTERO,FEMENINO,NINGUNA,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,3.709.024,-95.712.891,2023-05-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,05-2023,2023
CANADA,CAN,ONTARIO,NORTH YORK,C. TORONTO,ADULTO,41,CIENCIAS SOCIALES Y HUMANAS,SOCIOLOGIATRABAJO SOCIAL Y AFINES,POSTGRADO - ESPECIALIZACION,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,56.130.366,-106.346.771,2023-04-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,04-2023,2023
ESTADOS UNIDOS,USA,CALIFORNIA,LOS ANGELES,C. LOS ANGELES,ADULTO JOVEN,23,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",CONTADURIA PUBLICA,PREGRADO - TECNICO PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-10-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,10-2023,2023
ESTADOS UNIDOS,USA,ILLINOIS,CHICAGO,C. CHICAGO,ADULTO,32,NINGUNA,NINGUNA,PRIMARIA,CASADO,MASCULINO,OTRO,-1,COLOMBIA,PUTUMAYO,PUERTO GUZMAN,3.709.024,-95.712.891,2023-11-01,1,COLOMBIAPUTUMAYOPUERTO GUZMAN,COLOMBIA,0.9648984,-76.407834,11-2023,2023
ESTADOS UNIDOS,USA,CALIFORNIA,SAN JOSE,C. SAN FRANCISCO,ADULTO,46,COCINA Y CULINARIA,COCINA Y CULINARIA,PREGRADO - TECNICO PROFESIONAL,UNION_LIBRE,MASCULINO,NINGUNA,-1,COLOMBIA,CASANARE,YOPAL,3.709.024,-95.712.891,2023-04-01,1,COLOMBIACASANAREYOPAL,COLOMBIA,5.3356662,-72.3936931,04-2023,2023
ESTADOS UNIDOS,USA,TEXAS,HOUSTON,C. HOUSTON,ADULTO,35,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",ADMINISTRACION,PREGRADO - TECNOLOGICO,CASADO,MASCULINO,OTRO,-1,COLOMBIA,TOLIMA,IBAGUE,3.709.024,-95.712.891,2024-02-01,1,COLOMBIATOLIMAIBAGUE,COLOMBIA,4.4386033,-75.2108857,02-2024,2024
ESTADOS UNIDOS,USA,MASSACHUSETTS,FRAMINGHAM,C. BOSTON,ADULTO,51,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,OTRO,-1,COLOMBIA,VALLE DEL CAUCA,SEVILLA,3.709.024,-95.712.891,2022-01-01,1,COLOMBIAVALLE DEL CAUCASEVILLA,COLOMBIA,4.2694,-75.9319,01-2022,2022
ESTADOS UNIDOS,USA,NEW JERSEY,GUTTENBERG,C. NEWARK,ADULTO,54,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,QUINDIO,ARMENIA QUINDIO,3.709.024,-95.712.891,2023-01-01,1,COLOMBIAQUINDIOARMENIA QUINDIO,COLOMBIA,4.510816,-75.7079177,01-2023,2023
ESTADOS UNIDOS,USA,MASSACHUSETTS,REVERE,C. BOSTON,ADULTO,39,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,OTRO,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,3.709.024,-95.712.891,2024-10-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,10-2024,2024
AUSTRALIA,AUS,VICTORIA,MARIBYRNONG,C. CANBERRA,ADULTO,35,CIENCIAS DE LA EDUCACION,EDUCACION,PREGRADO - TECNOLOGICO,DESCONOCIDO,MASCULINO,SIN ETNIA REGISTRADA,167,COLOMBIA,ANTIOQUIA,PUERTO NARE,-25.274.398,133.775.136,2023-12-01,1,COLOMBIAANTIOQUIAPUERTO NARE,COLOMBIA,6.1876653,-74.5828711,12-2023,2023
ESTADOS UNIDOS,USA,FLORIDA,PEMBROKE PINES,C. MIAMI,ADULTO,50,BELLAS ARTES,DISEÑO,NO INDICA,CASADO,FEMENINO,OTRO,-1,COLOMBIA,CESAR,VALLEDUPAR,3.709.024,-95.712.891,2021-03-01,1,COLOMBIACESARVALLEDUPAR,COLOMBIA,10.3431115,-73.3757934,03-2021,2021
ESTADOS UNIDOS,USA,NEW YORK,JACKSON HEIGHTS,C. NUEVA YORK,ADULTO MAYOR,67,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,NINGUNA,-1,COLOMBIA,VALLE DEL CAUCA,CAICEDONIA,3.709.024,-95.712.891,2021-09-01,1,COLOMBIAVALLE DEL CAUCACAICEDONIA,COLOMBIA,4.3076028,-75.8397908,09-2021,2021
CANADA,CAN,ONTARIO,KITCHENER,C. TORONTO,ADULTO,53,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,56.130.366,-106.346.771,2024-11-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,11-2024,2024
CANADA,CAN,QUEBEC,LAVAL,C. MONTREAL,ADULTO,30,"INGENIERIA, ARQUITECTURA Y AFINES",INGENIERIA INDUSTRIAL Y AFINES,PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,-1,COLOMBIA,BOLIVAR,CARTAGENA,56.130.366,-106.346.771,2022-11-01,1,COLOMBIABOLIVARCARTAGENA,COLOMBIA,10.4265566,-75.5441671,11-2022,2022
ESTADOS UNIDOS,USA,NEW YORK,QUEENS,C. NUEVA YORK,ADULTO,46,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",CONTADURIA PUBLICA,PREGRADO - TECNICO PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,-1,COLOMBIA,VALLE DEL CAUCA,SANTIAGO DE CALI,3.709.024,-95.712.891,2023-06-01,1,COLOMBIAVALLE DEL CAUCASANTIAGO DE CALI,COLOMBIA,3.4519988,-76.5325259,06-2023,2023
CANADA,CAN,ONTARIO,LONDON,C. TORONTO,ADULTO,58,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",ADMINISTRACION,NO INDICA,CASADO,MASCULINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,56.130.366,-106.346.771,2021-04-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,04-2021,2021
ESTADOS UNIDOS,USA,FLORIDA,NAPLES,C. MIAMI,ADULTO,43,NINGUNA,NINGUNA,BACHILLERATO,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,CALDAS,RIOSUCIO,3.709.024,-95.712.891,2023-02-01,1,COLOMBIACALDASRIOSUCIO,COLOMBIA,5.4209549,-75.7030623,02-2023,2023
ESTADOS UNIDOS,USA,GEORGIA,MARIETTA,C. ATLANTA,ADULTO,54,NINGUNA,NINGUNA,BACHILLERATO,CASADO,FEMENINO,OTRO,-1,COLOMBIA,QUINDIO,ARMENIA QUINDIO,3.709.024,-95.712.891,2023-08-01,1,COLOMBIAQUINDIOARMENIA QUINDIO,COLOMBIA,4.510816,-75.7079177,08-2023,2023
ESTADOS UNIDOS,USA,INDIANA,FORT WAYNE,C. CHICAGO,ADULTO,32,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,OTRO,-1,COLOMBIA,SANTANDER,BUCARAMANGA,3.709.024,-95.712.891,2022-08-01,1,COLOMBIASANTANDERBUCARAMANGA,COLOMBIA,7.1669842,-73.1047294,08-2022,2022
ESTADOS UNIDOS,USA,TENNESSEE,CLEVELAND,C. ATLANTA,ADULTO JOVEN,26,CIENCIAS DE LA SALUD,OTRO PROGRAMA DE SALUD,PREGRADO - TECNICO PROFESIONAL,SOLTERO,FEMENINO,NINGUNA,-1,COLOMBIA,SANTANDER,RIONEGRO,3.709.024,-95.712.891,2023-02-01,1,COLOMBIASANTANDERRIONEGRO,COLOMBIA,7.4792888,-73.3827006,02-2023,2023
ESTADOS UNIDOS,USA,FLORIDA,MIAMI,C. MIAMI,ADULTO,51,NO INDICA,AVIACION,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,3.709.024,-95.712.891,2022-03-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,03-2022,2022
ESTADOS UNIDOS,USA,CONNECTICUT,NORWALK,C. NUEVA YORK,ADULTO,31,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",ADMINISTRACION,PREGRADO - PROFESIONAL,CASADO,FEMENINO,OTRO,-1,COLOMBIA,TOLIMA,IBAGUE,3.709.024,-95.712.891,2023-07-01,1,COLOMBIATOLIMAIBAGUE,COLOMBIA,4.4386033,-75.2108857,07-2023,2023
ESTADOS UNIDOS,USA,NEW YORK,VALLEY STREAM,C. NUEVA YORK,ADULTO,38,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",ADMINISTRACION,PREGRADO - TECNICO PROFESIONAL,UNION_LIBRE,MASCULINO,OTRO,-1,COLOMBIA,QUINDIO,ARMENIA QUINDIO,3.709.024,-95.712.891,2023-04-01,1,COLOMBIAQUINDIOARMENIA QUINDIO,COLOMBIA,4.510816,-75.7079177,04-2023,2023
ESTADOS UNIDOS,USA,NEW JERSEY,UNION CITY,C. NEWARK,ADULTO JOVEN,24,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2021-12-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,12-2021,2021
ESTADOS UNIDOS,USA,QUEENS,NUEVA YORK,C. ATLANTA,ADULTO,56,CIENCIAS DE LA SALUD,TERAPIAS,PREGRADO - PROFESIONAL,DIVORCIADO,FEMENINO,NINGUNA,-1,COLOMBIA,ATLANTICO,BARRANQUILLA,3.709.024,-95.712.891,2023-11-01,1,COLOMBIAATLANTICOBARRANQUILLA,COLOMBIA,11.0101922,-74.8231794,11-2023,2023
ESTADOS UNIDOS,USA,NEW JERSEY,TEANECK,C. NEWARK,ADULTO,36,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",ADMINISTRACION,PREGRADO - TECNOLOGICO,CASADO,FEMENINO,OTRO,-1,COLOMBIA,ATLANTICO,CAMPO DE LA CRUZ,3.709.024,-95.712.891,2023-01-01,1,COLOMBIAATLANTICOCAMPO DE LA CRUZ,COLOMBIA,10.380131,-74.8810622,01-2023,2023
ESTADOS UNIDOS,USA,NEW JERSEY,LINCOLN PARK,C. NEWARK,ADULTO,38,CIENCIAS DE LA SALUD,ENFERMERIA,POSTGRADO - MAESTRIA,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2023-02-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,02-2023,2023
ESTADOS UNIDOS,USA,NEW JERSEY,UNION CITY,C. NEWARK,ADULTO,33,BELLAS ARTES,DISEÑO,PREGRADO - TECNOLOGICO,CASADO,FEMENINO,OTRO,-1,COLOMBIA,ANTIOQUIA,MEDELLIN,3.709.024,-95.712.891,2023-01-01,1,COLOMBIAANTIOQUIAMEDELLIN,COLOMBIA,6.2697325,-75.6025597,01-2023,2023
ESTADOS UNIDOS,USA,CALIFORNIA,CALIFORNIA,C. SAN FRANCISCO,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,OTRO,-1,COLOMBIA,BOYACA,PUERTO BOYACA,3.709.024,-95.712.891,2024-09-01,1,COLOMBIABOYACAPUERTO BOYACA,COLOMBIA,5.9756376,-74.5882837,09-2024,2024
ESTADOS UNIDOS,USA,MASSACHUSETTS,BOSTON,C. BOSTON,ADULTO,31,AGRONOMIA VETERINARIA Y ZOOTECNIA,MEDICINA VETERINARIA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,VALLE DEL CAUCA,SANTIAGO DE CALI,3.709.024,-95.712.891,2022-11-01,1,COLOMBIAVALLE DEL CAUCASANTIAGO DE CALI,COLOMBIA,3.4519988,-76.5325259,11-2022,2022
ESTADOS UNIDOS,USA,NEVADA,LAS VEGAS,C. SAN FRANCISCO,ADULTO MAYOR,67,NINGUNA,NINGUNA,PRIMARIA,CASADO,FEMENINO,OTRO,-1,COLOMBIA,CALDAS,MANIZALES,3.709.024,-95.712.891,2023-03-01,1,COLOMBIACALDASMANIZALES,COLOMBIA,5.0743694,-75.5081167,03-2023,2023
ESTADOS UNIDOS,USA,CONNECTICUT,NORWALK,C. NUEVA YORK,ADULTO,47,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,TOLIMA,IBAGUE,3.709.024,-95.712.891,2021-10-01,1,COLOMBIATOLIMAIBAGUE,COLOMBIA,4.4386033,-75.2108857,10-2021,2021
ESTADOS UNIDOS,USA,TEXAS,HOUSTON,C. HOUSTON,ADULTO,34,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,OTRO,-1,COLOMBIA,SAN ANDRES,SAN ANDRES ISLAS,3.709.024,-95.712.891,2021-05-01,1,COLOMBIASAN ANDRESSAN ANDRES ISLAS,COLOMBIA,12.5375979,-81.7204155,05-2021,2021
CANADA,CAN,ONTARIO,HAMILTON,C. TORONTO,ADULTO JOVEN,22,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,56.130.366,-106.346.771,2021-07-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,07-2021,2021
ESTADOS UNIDOS,USA,FLORIDA,DORAL,C. MIAMI,ADULTO,46,NINGUNA,NINGUNA,NO INDICA,CASADO,MASCULINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2022-02-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,02-2022,2022
AUSTRALIA,AUS,NEW SOUTH WALES,SYDNEY,C. SYDNEY,ADULTO,36,"ECONOMIA, ADMINISTRACION CONTADURIA Y AFINES",ADMINISTRACION,POSTGRADO - MAESTRIA,DESCONOCIDO,FEMENINO,NINGUNA,-1,COLOMBIA,VALLE DEL CAUCA,SANTIAGO DE CALI,-25.274.398,133.775.136,2022-11-01,1,COLOMBIAVALLE DEL CAUCASANTIAGO DE CALI,COLOMBIA,3.4519988,-76.5325259,11-2022,2022
ESTADOS UNIDOS,USA,NEW YORK,LONG ISLAND,C. NUEVA YORK,ADULTO MAYOR,66,NINGUNA,NINGUNA,BACHILLERATO,DIVORCIADO,FEMENINO,OTRO,-1,COLOMBIA,QUINDIO,FILANDIA,3.709.024,-95.712.891,2024-01-01,1,COLOMBIAQUINDIOFILANDIA,COLOMBIA,4.6750767,-75.6579957,01-2024,2024
CANADA,CAN,ALBERTA,AIRDRIE,C. CALGARY,ADULTO,42,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,NINGUNA,-1,COLOMBIA,VALLE DEL CAUCA,SANTIAGO DE CALI,56.130.366,-106.346.771,2023-08-01,1,COLOMBIAVALLE DEL CAUCASANTIAGO DE CALI,COLOMBIA,3.4519988,-76.5325259,08-2023,2023
ESTADOS UNIDOS,USA,TEXAS,KATY,C. HOUSTON,ADULTO,34,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,NINGUNA,-1,COLOMBIA,CUNDINAMARCA,BOGOTA D.C.,3.709.024,-95.712.891,2021-08-01,1,COLOMBIACUNDINAMARCABOGOTA D.C.,COLOMBIA,4.6247961,-74.0936688,08-2021,2021
